2018-09-28 16:37:10 session verif row db  
2018-09-28 16:37:12 session verif row db  
2018-09-28 16:37:13 session verif row db  
2018-09-28 16:37:13 session verif row db  
2018-09-28 16:37:13 session verif row db  
2018-09-28 16:37:13 session verif row db  
2018-09-28 16:37:13 session verif row db  
2018-09-28 16:37:15 session verif row db  
2018-09-28 16:37:15 session verif row db  
2018-09-28 16:37:15 session verif row db  
2018-09-28 16:37:15 session verif row db  
2018-09-28 16:37:16 session verif row db  
2018-09-28 16:37:17 session verif row db  
2018-09-28 16:37:17 session verif row db  
2018-09-28 16:37:17 session verif row db  
2018-09-28 16:37:17 session verif row db  
2018-09-28 16:37:19 session verif row db  
2018-09-28 16:37:20 session verif row db  
2018-09-28 16:37:28 !session id 07ce9fdb748de2f9d4f8a7df8e09ac16 
2018-09-28 16:37:28 session verif row db  
2018-09-28 16:37:31 session verif row db  
2018-09-28 16:37:31 session verif row db  
2018-09-28 16:37:31 session verif row db  
2018-09-28 16:37:31 session verif row db  
2018-09-28 16:37:34 session verif row db  
2018-09-28 16:37:34 session verif row db  
2018-09-28 16:37:34 session verif row db  
2018-09-28 16:37:34 session verif row db  
2018-09-28 16:37:41 session verif row db  
2018-09-28 16:37:41 session verif row db  
2018-09-28 16:37:41 session verif row db  
2018-09-28 16:37:41 session verif row db  
2018-09-28 16:37:41 session verif row db  
2018-09-28 16:37:50 session verif row db  
2018-09-28 16:37:50 session verif row db  
2018-09-28 16:37:50 session verif row db  
2018-09-28 16:37:50 session verif row db  
2018-09-28 16:40:25 !session id 59ac0ac87c253e96ab9f62a162cb30ad 
2018-09-28 16:40:26 session verif row db  
2018-09-28 16:40:28 session verif row db  
2018-09-28 16:40:28 session verif row db  
2018-09-28 16:40:28 session verif row db  
2018-09-28 16:40:28 session verif row db  
2018-09-28 16:40:30 session verif row db  
2018-09-28 16:40:35 session verif row db  
2018-09-28 16:40:35 session verif row db  
2018-09-28 16:40:35 session verif row db  
2018-09-28 16:40:35 session verif row db  
2018-09-28 16:40:42 session verif row db  
2018-09-28 16:40:42 session verif row db  
2018-09-28 16:40:42 session verif row db  
2018-09-28 16:40:42 session verif row db  
2018-09-28 16:40:43 session verif row db  
2018-09-28 16:40:44 session verif row db  
2018-09-28 16:40:46 session verif row db  
2018-09-28 16:40:48 session verif row db  
2018-09-28 16:40:50 session verif row db  
2018-09-28 16:40:51 session verif row db  
